2020-03-24 08:57:02.054 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:02.055 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
2020-03-24 08:57:02.966 [http-nio-8080-exec-5] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/tags/-1', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.TagShowController.tags', args=[Page request [number: 0, size 8, sort: updateTime: DESC], -1, {}]}
2020-03-24 08:57:03.522 [http-nio-8080-exec-5] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:03.522 [http-nio-8080-exec-5] INFO  com.jl.asspect.LogAspect - Result : tags
2020-03-24 08:57:04.685 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/footer/newblog', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.newblogs', args=[{}]}
2020-03-24 08:57:04.882 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:04.882 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
2020-03-24 08:57:05.877 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/archives', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.ArchiveShowController.archives', args=[{}]}
2020-03-24 08:57:06.650 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:06.650 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Result : archives
2020-03-24 08:57:07.064 [http-nio-8080-exec-3] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/footer/newblog', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.newblogs', args=[{}]}
2020-03-24 08:57:07.281 [http-nio-8080-exec-3] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:07.281 [http-nio-8080-exec-3] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
